,LIBNAME,new
577,SANTA ANA PUBLIC LIBRARY,-10.62274368527915
578,SANTA BARBARA PUBLIC LIBRARY,-5.892361219123923
579,SANTA CLARA CITY LIBRARY,-5.865847901758625
582,SANTA FE SPRINGS CITY LIBRARY,-4.7979640356884605
583,SANTA MARIA PUBLIC LIBRARY,-4.1765219576346535
584,SANTA MONICA PUBLIC LIBRARY,-4.639163510876592
586,SAUSALITO PUBLIC LIBRARY,-5.191039147041167
587,SHASTA PUBLIC LIBRARIES,-7.41748515541872
590,SOLANO COUNTY LIBRARY,-4.670984282653942
591,SONOMA COUNTY LIBRARY,-5.7271841859147115
592,SOUTH PASADENA PUBLIC LIBRARY,-5.25536158338325
593,SOUTH SAN FRANCISCO PUBLIC LIBRARY,-5.639443169635072
594,STANISLAUS COUNTY FREE LIBRARY,-8.530740672346912
595,ST. HELENA PUBLIC LIBRARY,-4.9289312616797885
596,STOCKTON-SAN JOAQUIN COUNTY PUBLIC LIBRARY,-8.19335037521216
597,SUNNYVALE PUBLIC LIBRARY,-5.114381060896848
598,SUTTER COUNTY LIBRARY,-3.3930332283570843
599,TEHAMA COUNTY LIBRARY,-11.17783610582384
600,TORRANCE PUBLIC LIBRARY,-6.171584865053488
601,TRINITY COUNTY FREE LIBRARY,-8.388325364854992
602,TULARE COUNTY FREE LIBRARY,-10.183646769280923
603,TULARE PUBLIC LIBRARY,-3.6721259968279463
604,TUOLUMNE COUNTY LIBRARY,-7.438053582140967
605,UPLAND PUBLIC LIBRARY,-7.713396194321182
606,VENTURA COUNTY LIBRARY,-7.483604427455756
607,WATSONVILLE PUBLIC LIBRARY,-6.768348994034045
608,WHITTIER PUBLIC LIBRARY,-7.027529357145534
609,WILLOWS PUBLIC LIBRARY,-9.791011026409233
610,WOODLAND PUBLIC LIBRARY,-6.243305272487536
611,YOLO COUNTY LIBRARY,-6.115924437355182
612,YORBA LINDA PUBLIC LIBRARY,-5.295157506907309
613,YUBA COUNTY LIBRARY,-9.85095174567691
614,CORONADO PUBLIC LIBRARY,-5.21593922000034
615,IRWINDALE PUBLIC LIBRARY,-5.087736673933557
617,BENICIA PUBLIC LIBRARY,-4.860080051738412
618,LOS GATOS PUBLIC LIBRARY,-5.4645527851894755
619,A. K. SMILEY PUBLIC LIBRARY,-6.31012326009153
620,SIGNAL HILL PUBLIC LIBRARY,-5.576406447728823
621,BANNING LIBRARY DISTRICT,-6.506814383254756
622,BEAUMONT LIBRARY DISTRICT,-7.409492330771777
623,THOUSAND OAKS LIBRARY,-5.239121300572253
624,MARIPOSA COUNTY LIBRARY,-4.876912972876221
625,FOLSOM PUBLIC LIBRARY,-6.0616541284605905
626,RANCHO CUCAMONGA PUBLIC LIBRARY,-6.983013528706462
627,LASSEN LIBRARY DISTRICT,-13.231764928843655
628,RANCHO MIRAGE PUBLIC LIBRARY,-2.8432487597198515
629,BELVEDERE-TIBURON LIBRARY,-3.0455335522544775
630,MISSION VIEJO LIBRARY,-6.196798039380873
632,MORENO VALLEY PUBLIC LIBRARY,-9.323095521590336
633,CALABASAS CITY LIBRARY,-6.190701502793352
634,MURRIETA PUBLIC LIBRARY,-7.467017948393117
635,PLEASANTON PUBLIC LIBRARY,-4.770169767429456
