,FSCSKEY,LIBNAME_x,Usage,Usage difference,ATTEND-VISITS_Window1,VISIT difference,AUDIO_Window1,BRANLIB_Window1,LOANTO_Window1,TOTCIR_Window1,SALARIES_Window1,BKVOL_Window1,LOCGVT_Window1,BKMOB_Window1,OTHINCM_Window1,OTHPAID_Window1,LOANFM_Window1,REFERENC-REFERENCE_Window1,SUBSCRIP-SUBSCRIPT_Window1,TOTOPEXP-TOTOPEXP1_Window1,LIBRARIAN-LIBRARIA_Window1,TOTEXPCO-TOTEXPCOL_Window1,OBEREG_Window1,KIDCIRCL_Window1,STAFFEXP-TOTEXP_Window1,KIDATTEN-KIDATTEND_Window1,STGVT_Window1,TOTPEMP-TOTSTAFF_Window1,VIDEO_Window1,CENTLIB_Window1,BENEFIT_Window1,TOTINCM_Window1,MASTER_Window1,CAPITAL_Window1,DUPLI-HRS_OPEN_Window1,ELMATEXP_Window1,POPU-POPU_LSA_Window1,OTHOPEXP_Window1,Prediction
2748,KY0040,GRAYSON COUNTY PUBLIC LIBRARY,2.0506437812072362,-0.32475445750275445,53436.0,-0.731256082042069,20008.4,0.0,266.8,78045.8,182181.0,37699.8,933182.6,1.0,25408.2,2.444,1044.4,3335.0,71.6,658348.4,6.43,97640.8,5.0,23708.6,273554.2,4426.8,34643.0,8.874,6368.8,1.0,91373.2,993233.8,0.9359999999999999,48029.8,3675.2,19282.0,26066.6,188112.0,-40.36735914747348
2749,KY0041,GREEN COUNTY PUBLIC LIBRARY,3.5633884224013235,-0.4318043008693621,39737.6,0.8720707843453054,19090.8,0.0,0.0,60716.6,95687.4,25215.4,345021.0,0.0,17371.2,1.2,360.2,5055.2,78.6,364812.6,6.2,60196.0,5.0,12141.6,141048.8,9930.0,14306.8,7.4,7067.4,1.0,45361.4,376699.0,0.0,774.2,2163.2,7724.8,11153.6,99797.4,-29.121737101504845
2750,KY0042,GREENUP COUNTY PUBLIC LIBRARY,3.8601521401117758,0.6174798253888947,140898.6,-0.6515181839989893,24966.2,2.0,0.2,281258.8,429462.2,132276.0,1988815.4,1.0,44279.0,10.4,82.4,47600.6,272.6,1091767.6,10.2,195621.6,5.0,73065.4,466896.8,6607.6,89411.8,20.6,20491.8,1.0,37434.6,2122506.2,1.8,1318507.8,9380.8,17245.4,36493.4,253402.4,-65.68859976412983
2751,KY0043,HANCOCK COUNTY PUBLIC LIBRARY,3.8947484521667937,-0.864571859967386,33782.0,0.39335740927120955,23815.8,1.0,2.2,59479.8,154548.0,44657.2,845604.8,1.0,14082.4,0.008,696.0,11143.0,65.2,512771.0,8.379999999999999,66456.6,5.0,18289.0,202271.4,6670.0,14083.0,8.388,12984.4,1.0,47723.4,881642.2,0.388,604493.8,5381.6,14967.4,8676.2,161282.2,-35.007099298324434
2752,KY0044,HARDIN COUNTY PUBLIC LIBRARY,2.151511291038768,-0.23324335974692995,231228.0,-0.7390644731606899,21925.6,1.0,69.4,236404.2,344171.2,90303.8,810000.0,1.0,60050.4,1.17,1738.0,10512.0,3310.4,919626.6,13.486,119185.0,5.0,81942.0,478413.0,19615.4,49425.0,14.656,8512.0,1.0,134241.8,930618.6,1.9,0.0,6580.2,22035.6,107475.4,157332.8,-69.53707862221201
2753,KY0045,HARLAN COUNTY PUBLIC LIBRARY,2.650510800678273,0.7809383592274667,75420.8,0.016921061563918666,16512.4,2.0,158.2,84698.2,280257.2,116346.6,824430.8,1.0,24362.6,9.629999999999999,157.4,7107.8,125.8,727010.4,9.138,105790.4,5.0,27398.2,388406.6,3810.8,18519.2,18.768,8634.6,1.0,108149.4,867427.2,0.992,277194.6,8802.4,16125.0,28497.0,108309.4,-48.895651142019545
2754,KY0046,CYNTHIANA-HARRISON COUNTY PUBLIC LIBRARY,4.569825789153347,-0.5225315544788386,85206.2,-0.6186991087503022,19769.0,0.0,0.0,107844.6,225123.8,40419.0,717736.0,1.0,68029.6,2.086,425.4,1016.2,106.2,641609.2,7.090000000000001,82898.2,5.0,27669.2,311732.6,6093.4,16892.4,9.176000000000002,8168.6,1.0,86608.8,804954.6,1.236,238245.6,4214.0,15751.6,18654.8,122056.8,-50.21430150111795
2755,KY0047,HART COUNTY PUBLIC LIBRARY,2.769122105991581,0.13248398317369856,51069.0,1.6431964596917894,970.4,0.0,427.4,143017.8,126367.6,39940.6,544331.4,2.0,22428.2,1.6199999999999999,239.2,10129.0,96.0,281723.2,5.24,33991.0,5.0,60680.4,143769.0,16488.2,26479.8,6.859999999999999,1213.2,1.0,17401.4,593239.4,0.0,40689.8,5237.0,1298.0,18445.0,59668.0,-21.5765340031136
2756,KY0048,HENDERSON COUNTY PUBLIC LIBRARY,4.427617297251944,-0.07424591125126065,205569.4,-0.7443199231013954,26649.6,0.0,1953.0,379604.4,734070.6,92160.2,2311952.0,1.0,140816.0,6.866,627.6,44291.6,112.2,1951684.6,19.2,333309.6,5.0,73761.4,1038486.8,8545.0,27158.6,26.066000000000003,16098.0,1.0,304416.2,2482434.8,1.6,135633.4,4592.8,102108.0,46428.0,256655.2,-123.16165390730653
2757,KY0049,HENRY COUNTY PUBLIC LIBRARY,4.973191368680672,-0.9485419183458184,76953.8,-0.981490192816989,5204.2,0.0,18.0,95791.2,220460.8,31747.8,697627.8,1.0,28926.0,4.234,202.8,21305.6,97.0,598648.4,5.12,67509.2,5.0,30191.4,309137.2,5496.6,16616.4,9.354000000000001,4121.0,1.0,88676.4,743406.2,2.0,17804.2,3656.6,8719.2,15479.6,115239.0,-42.560983531677394
2758,KY0050,HICKMAN COUNTY MEMORIAL LIBRARY,0.7488255979458414,1.728028402735436,3542.6,25.59826116411675,278.8,0.0,0.0,6110.6,0.0,11805.8,3655.6,1.0,3447.2,0.0,0.0,155.8,29.2,18478.8,1.0,1499.8,5.0,522.8,0.0,57.8,11140.6,1.0,634.0,1.0,0.0,18243.4,0.0,683.6,1015.6,31.0,4725.8,0.0,-10.088577818959891
